,Word,Mispronunciations
0,to,"['queen', 'true', 'who']"
1,new,"['none', 'move']"
3,main,['name']
4,notice,"['lotus', 'noted']"
5,paint,"['picked', 'hate']"
6,clothe,['bride']
7,skin,['slur']
8,fruit,"['freight', 'white']"
9,prepare,"['creeper', 'repair']"
11,voice,['enough']
12,language,['lanuguage']
14,rich,['reach']
15,salt,['solve']
17,get,['gay']
18,should,"['shed', 'shuld']"
20,town,['tawn']
21,ball,['boul']
23,trade,['trait']
26,he,"['tear', 'keep', 'eat']"
27,where,['wear']
29,ever,['other']
30,fall,['pole']
31,heart,"['part', 'hot', 'hurt']"
32,root,"['wind', 'rude']"
34,sharp,['shark']
36,be,['bee']
41,material,['mah-terial']
42,shall,"['show', 'shell', 'shaow']"
43,wrote,"['vote', 'boat']"
44,poem,"['plan', 'po-em']"
45,branch,"['french', 'lunch']"
46,at,['add']
48,state,['stay']
49,noun,['now']
50,held,['hold']
53,had,['hot']
54,very,['fairy']
55,product,['products']
60,but,"['bat', 'file']"
62,farm,['for']
63,class,['cards']
66,cat,['tot']
67,blow,['flow']
68,sight,['side']
69,similar,['similiar']
70,we,['nan']
72,might,['nan']
73,happen,"['might', 'nan']"
74,week,['weak']
75,felt,"['shorts', 'faults']"
76,type,['tight']
84,final,['finance']
87,grew,['groom']
91,sea,['see']
93,oh,"['owe', 'all']"
102,phrase,['friend']
103,wire,"['lire', 'louder']"
104,mine,['mom']
105,when,['been']
107,late,"['night', 'rate']"
110,tall,['tie']
111,lost,"['laugh', 'lot']"
113,card,"['art', 'hard']"
115,same,['sane']
116,life,['light']
118,clear,['corrier']
120,fight,['bite']
121,fit,['bit']
122,print,"['reads', 'mint']"
123,feed,"['heed', 'aid']"
124,their,"['there', 'air']"
125,set,['sat']
130,excite,['exite']
131,bank,['thanks']
132,desert,['dessert']
134,time,"['am', 'tme']"
135,three,['green']
136,seem,['seen']
137,heard,"['healo', 'hear']"
138,street,"['screed', 'spreed']"
139,cell,['sale']
141,collect,['culap']
142,suit,"['cubed', 'fute']"
143,smell,['smooth']
144,if,['f']
145,want,['launch']
154,will,['well']
155,air,['ear']
157,hour,['or']
160,sense,"['sam', 'cents']"
164,like,"['white', 'mic']"
167,early,['alley']
168,object,['objects']
169,sleep,['sweep']
170,son,"['swan', 'sun']"
174,so,['solve']
175,hand,['hint']
177,hold,['holt']
183,sheet,"['sheep', 'seat']"
184,make,['mate']
185,add,['ad']
194,see,['fee']
197,verb,['perv']
199,mount,['melts']
203,chord,"['cord', 'court']"
204,here,['hear']
205,letter,['ledder']
206,busy,['bizy']
207,wish,['whish']
208,straight,"['street', 'strayt']"
209,wife,['wyff']
218,radio,['burial']
221,day,"['bell', 'down']"
222,follow,['through']
223,feet,"['peach', 'pigs']"
224,gold,['gourd']
225,sat,['sacked']
228,camp,"['clock', 'cap']"
230,go,['gulp']
231,why,['lie']
232,second,['seconds']
234,plane,"['clean', 'plain']"
236,organ,['gorden']
239,charge,['church']
241,off,"['offer', 'exact']"
244,ran,"['ren', 'then', 'rain']"
246,quiet,['quite']
248,level,['eleven']
253,love,['walks']
254,equate,['equal']
258,stretch,['srtetch']
259,chick,['check']
260,call,['cop']
262,once,['wants']
263,money,['many']
264,miss,['nest']
265,bright,"['break', 'braid']"
267,bone,"['bomb', 'bon']"
268,shine,['sign']
271,near,['mirror']
279,speech,['speach']
281,shell,"['show', 'sure']"
282,teeth,['chief']
283,quotient,"['ocean', 'caution']"
284,meant,['mans']
285,log,"['clock', 'yug']"
287,path,['task']
289,steam,['stream']
